"NU_ANO_CENSO","RAÇA","ING","MAT","CONC"
2009,"BRANCA",357758,1072535,161504
2009,"PRETA",38737,116050,12962
2009,"PARDA",144555,411009,52747
2009,"AMARELA",14307,39588,4066
2009,"INDIGENA",2780,7960,640
2009,"CORND",1523245,4338731,735639
2010,"BRANCA",396175,1266817,189957
2010,"PRETA",49862,147423,17210
2010,"PARDA",180649,537067,66685
2010,"AMARELA",19138,57604,6991
2010,"INDIGENA",2725,8282,1022
2010,"CORND",1548273,4390540,698797
2011,"BRANCA",459538,1437606,205968
2011,"PRETA",54928,161336,18933
2011,"PARDA",222895,648293,78589
2011,"AMARELA",21054,67037,8264
2011,"INDIGENA",2687,9764,1288
2011,"CORND",1598307,4441504,709669
2012,"BRANCA",599799,1644024,243135
2012,"PRETA",75237,187763,22767
2012,"PARDA",288664,748049,93634
2012,"AMARELA",20536,62054,9534
2012,"INDIGENA",3668,10288,1326
2012,"CORND",1768869,4405906,685673
2013,"BRANCA",581634,1830543,262271
2013,"PRETA",78010,222481,25082
2013,"PARDA",322581,909797,109255
2013,"AMARELA",22757,77360,11327
2013,"INDIGENA",3876,13691,1644
2013,"CORND",1740945,4269092,585233
2014,"BRANCA",950051,2432854,313001
2014,"PRETA",166736,338872,31084
2014,"PARDA",603023,1398424,156929
2014,"AMARELA",44609,101765,12274
2014,"INDIGENA",9018,22030,2828
2014,"CORND",1341073,3545820,514404
2015,"BRANCA",1031610,2905310,424853
2015,"PRETA",152846,430040,48257
2015,"PARDA",680784,1745008,216179
2015,"AMARELA",36617,116150,15716
2015,"INDIGENA",14284,32167,3523
2015,"CORND",1006259,2804899,443930
2016,"BRANCA",1097885,3081152,455601
2016,"PRETA",177267,486044,59117
2016,"PARDA",746331,1929450,241880
2016,"AMARELA",39266,123675,18284
2016,"INDIGENA",26062,49039,4651
2016,"CORND",899825,2382894,391427
2017,"BRANCA",1218944,3294683,486775
2017,"PRETA",203607,532909,64348
2017,"PARDA",870778,2158567,271954
2017,"AMARELA",54290,133987,19192
2017,"INDIGENA",25659,56757,4954
2017,"CORND",853628,2114008,353922
2018,"BRANCA",1400364,3533983,542802
2018,"PRETA",234842,591235,79396
2018,"PARDA",1003535,2436699,317921
2018,"AMARELA",50687,140762,23004
2018,"INDIGENA",17269,57708,6177
2018,"CORND",739631,1691361,295478
2019,"BRANCA",1475191,3658899,564452
2019,"PRETA",248893,613257,81013
2019,"PARDA",1130341,2669209,351430
2019,"AMARELA",54932,147997,23383
2019,"INDIGENA",17434,56259,6716
2019,"CORND",706853,1458905,223245
2020,"BRANCA",1455536,3684058,585713
2020,"PRETA",244888,617348,84212
2020,"PARDA",1075787,2648367,379676
2020,"AMARELA",50911,142920,24019
2020,"INDIGENA",13463,47267,8404
2020,"CORND",925084,1540985,196731
2021,"BRANCA",1593448,3929510,610787
2021,"PRETA",248206,644633,91441
2021,"PARDA",1016384,2677211,412861
2021,"AMARELA",52452,139637,23559
2021,"INDIGENA",14604,46252,8784
2021,"CORND",1019997,1549877,179893
