"year","school","theme","lyrics","score"
1985,"Mocidade Independente de Padre Miguel","Ziriguidum 2001, carnaval nas estrelas","Desse mundo louco, de tudo um pouco 
Eu vou levar pra 2001... 
Avançar no tempo e nas estrelas 
Fazer meu Ziriguidum... 
Nos meus devaneios quero viajar 
Sou a Mocidade, sou Independente
Vou a qualquer lugar
 
Vou à lua, vou ao Sol 
Vai a nave ao som do samba
Caminhando pelo tempo 
Em busca de outros bambas
 
Quero ver no céu minha estrela brilhar 
Escrever meus versos na luz do luar 
Vou fazer todo o universo sambar 
Até os astros irradiam mais fulgor 
A própria vida de alegria se enfeitou
Está  em festa o espaço sideral
Vibra o universo, é carnaval!
 
Quero ser a pioneira 
A erguer minha bandeira   
E plantar minha raiz","highest"
1985,"Beija-Flor de Nilópolis","A Lapa de Adão e Eva","Rio de Janeiro
A Beija-Flor revela o passado
A Lapa de Adão e Eva
O paraíso do prazer e do pecado
A culpada... Foi madame Satã
Coração de serpente não se engana
Fez Adão provar a maçã 
E Eva comer a banana
O jardim se transformou
Em Sodoma e Gomorra acabou
O tempo passou , passou ôô
Os Fenianos chegaram
Lutaram com os Tenentes do Diabo
Pedra da Gávea
Lições ficaram
Ramos tem cacique
Bafo tem também
Um devora o outro 
Ninguém sabe quem é quem
Hoje meu rio é cidade de babel
Emoldurado nesse meu painel
Política parece brincadeira
Camelô levou rasteira
Circo não tem opção
Gay é sucesso
Futebol exportação
Vem lourinha, vem sambar
O crioulo só quer ""Michael-Jekiar""
De braços abertos o Redentor pede ao Pai 
Pra nos perdoar","highest"
1985,"Unidos de Vila Isabel","Parece até que foi ontem","Eu vou desaguar neste encanto
De riso pra decantar
Deixa eu ser a sua fonte cristalina
Ser criança neste olhar
Poema que afaga
É vento que o arauto soprou
Eu dei pra ti uma cidade doce
Há cheiro de doce no ar
Inhá preta doce de amor
Entra nessa roda menino vem cirandar
Eu perdi a conta na ponta do meu polegar
No baile colorido lá vou eu
Pra ver Cinderela, mel de amor
Menina e o vento fez o par 
Vem Narizinho na luz do luar
No circo encantado, cantar, correr
Sentir a brisa do amanhecer
Óh minha Vila
Contigo de braço rodei
Cantando no azul do horizonte
Eu e ela
Parece até que foi ontem
Ê balão, balão, balão,        
Balão que leva eu
Balão me dê luar
E o céu pra eu brincar...","highest"
1985,"Portela","Recordar é viver","A Portela vem tão bela oi, tão bela
Colorindo a passarela
Com pedaços de alegria
Traz na mente a saudade
No peito a esperança
Voa águia em sua liberdade
Traz as alas da lembrança
Mergulhei, num passado que sonhei
Que sonhei, sonhei
Com o meu mundo encantado
Majestoso e divino
O meu reino era um cassino
Com cenário multicor
Onde a noite tinha vida
E a vida mais amor
 
Façam o jogo que a roleta vai girar
Quem brincar com fogo pode se queimar
 
Recordar é viver
O sonho prosseguia
No teatro de revista
Com milhares de artistas
O palco e a magia
 
Ô ô ô ô ô
O circo chegou meu povo
Revivendo a marmelada
Na Sapucaí de novo","highest"
1985,"Caprichosos de Pilares","E por falar em saudade","Oh! Saudade...
Meu carnaval é você
Caprichosamente
Vamos reviver, reviver, vamos reviver...
""Saudadeando"" o que sumiu no dia-a-dia
Na fantasia de um eterno folião
O bonde,
O amolador de facas,
O leite sem água
A gasolina barata,
Aquela seleção nacional
E derreteram a taça na maior cara-de-pau...
Bota, bota, bota fogo nisso
A virgindade já levou sumiço
Diretamente, o povo escolhia o presidente,
Se comia mais feijão,
Vovó botava a poupança no colchão
Hoje está tudo mudado,
Tem muita gente no lugar errado...
Onde andam vocês, antigos carnavais ?
Os sambistas imortais, bordados de poesia,
Velhos tempos que não voltam mais,
E no progresso da folia...
Tem bumbum de fora pra chuchu
Qualquer dia é todo mundo nu...","highest"
1985,"Acadêmicos do Salgueiro","Anos trinta, vento sul - Vargas","Soprando forte do Sul
Um ciclone feiticeiro
Venta pelos anos trinta
E traz Vargas, o mago justiceiro
Veio cumprir nobre missão
E mudar o destino da nossa nação
No palácio...
No palácio das Águias foi o senhor
Levantando o povo, trabalhador
Do solo fez jorrar o negro ouro
E a usina do aço, transformou em tesouro
Ô, ô, ô, ô Getúlio Vargas
O guerreiro vencedor
Apagou a chama da rebeldia
E afirmou a nossa soberania
Deu vida à justiça social
Criou leis trabalhistas
E a tranqüilidade nacional
Com punho forte e decisão
Esmagou a trama da traição
Mandou nossos heróis além mar
Para as forças do mal derrotar
Na fantasia do folclore do nosso povo
Festejava as vitórias no Estado Novo
Pensando no progresso da nação
Fez a moeda subir de cotação
Sucumbiu após a sanha traiçoeira
E da carta derradeira
O povo fez sua bandeira
Rufam os tambores do Salgueiro
Exaltando Vargas
O grande estadista brasileiro","highest"
1985,"Império Serrano","Samba, suor e cerveja, o combustível da ilusão","Nesta festança eu vou
De mão dada à poesia
Debruçado num verde esperança
Num branco que deixa herança
Nos caminhos d'alegria
Quero cantar, sambar, suar, me embriagar
Ser feliz, bem feliz
Desfrutar das coisas lindas
Que existem ainda neste meu país
 
Alegria, alegria meu amor
De peito aberto aqui estou
 
Cada gota de suor que cai
É um pingo de felicidade
No néctar dos deuses flutuando
Na espuma me banhando
Encontrei mil realidades
Coisas daninhas serão banalidades
Quem vem do lado de lá
Assistir à nossa batucada
Se trouxer no peito tristeza
Que afogue lá na mesa
Numa cerva bem gelada
Já coloquei na pedreira
Cerveja preta para o Rei Xangô
Cerveja branca também coloquei na mata
A noite inteira ""Seu"" Ogum bebericou
Quem canta o mal espanta
Explode coração
No combustível da ilusão
 
Haja frio ou calor
Cervejando lá se vai o dissabor","highest"
1985,"Imperatriz Leopoldinense","Adolã, a cidade mistério","Diz a lenda que outrora
Na aurora das manhãs
Floresceu na Ilha-Sedução
A tradição dos Adolãs
Império do bem e da paz
Onde o amor não é fugaz
Iklena semeou fertilidade
Quando o deus-Sol abençoou, ô ô!
E hoje tudo é saudade
Da Cidade-Mistério que restou
 
Venha ver, mas venha só
Há um mistério na Ilha de Marajó
 
Berço de arte e fantasia, ô
Sua riqueza seduzia
Aos colonizadores de além-mar (de além-mar)
De repente a natureza
Pelas palmas de princesa
Cheia de fogo no olhar
Se fez, na visão de pássaros no céu
Iluminada sob um véu
Deixou a ilha-tradição do Boi-Bumbá
 
Bumba, ê, meu boi
Olha o Boi-Bumbá
A Imperatriz do céu
Numa gaiola vai voltar","highest"
1985,"Estação Primeira de Mangueira","Abram alas que eu quero passar - Chiquinha Gonzaga","É carnaval
O samba faz vibrar a multidão
Lá vem Mangueira
Não posso conter a minha emoção
Vamos reviver o Rio Antigo
Onde Chiquinha se fez imortal
Oh!  Deusa da folia
Rainha do meu carnaval
Eu sou da Lira
Não vou negar
O ""abram alas que eu quero passar""
Só não passa a saudade
A saudade que ficou no seu lugar
Liberdade
Oh! falsa realidade
Liberdade
O sonho foi morar noutra cidade
Desprezou a burguesia
E o requinte dos salões
 
Abraça a boêmia
E deixa na boca do povo
Mais de mil canções
 
Roda Baiana
Levanta poeira do chão
Roda baiana
Nas cores do meu coração","highest"
1985,"Estácio de Sá","Chora chorões","Embalados neste som dolente
Vamos nessa minha gente
Unir os corações
Anda, meu amor, a hora é esta
Os chorões estão em festa
Gemem primas e bordões... nos salões
Soluça bem alto um cavaquinho
Chorando acordes, um pinho
Diz que é tempo de sonhar e recordar
E lá vou eu
Meu bem, tembém
Choramingar
E nesta festa
Sou chorão e vou chorar
Sou carinhoso desde bem pequenininho
Tico-tico sai do ninho
Pra comer o meu fubá
Em noite alta
Murmura a flauta
Apanhei-te cavaquinho
André de sapato novo
Pede ao povo
Pra chorar também brasileirinho
Urubu malandro
É dengoso e quer dançar
Agarradinho
Nas cadeiras de iaiá","highest"
1985,"Império da Tijuca","Se a lua contasse - Homenagem a Custódio Mesquita","Brilho no céu uma estrela
Para iluminar a minha mente
E o Império engalanado
Com Custódio Mesquita
Se faz presente
Pra fazer bailar a poesia
Desse gênio que não esquecemos jamais
Vamos matar a saudade
Que há 50 anos a recordação nos traz
Homem generoso e de respeito
Trazia dentro do peito um gigante coração
Aonde o necessitado encontrava
Afeto, acalento e proteção
Ator, pianista e seresteiro
Foi eterno escravo da canção
E ao reger a sinfonia
Fazia o que queria com a batuta na mão
Entra na roda pra girar na brincadeira
E fazer subir poeira nesse fox naná, ô
Eu quero ver, eu quero ver a sua ginga
E se você não sabe eu posso lhe ensinar
""Mulher"", ""Rosa de Maio""
Grandes entre suas grandes criações
Também ""Se a Lua Contasse""
Que aumentou de um carnaval a explosão
No auge de suas glórias
Foi abraçado pelo destino cruel
Compôs e deixou como dádiva a despedida
E foi se juntar a Noel","highest"
1985,"União da Ilha do Governador","Um herói, uma canção, um enredo","Lá na minha aldeia
Já não canta a chibata
Sangrando a Guanabara um dia
Um novo Dragão Verdes Mares
Bailando nos mares e lares
Um lenço era o seu espadim
Unindo a negrura
Sacrifício e destemor
 
Se o sangue assina a tortura
O sangue se apaga com amor
E viu o cais sorrir
O mulherio vibrando de alegria
E viu também um batalhão
Cheio de feitiço e de magia
A mentira veia no fantasma da anistia
O mar nunca afogou
As ondas que agitam a liberdade
O vento que passou
Só ventou saudade
Yemanjá sentiu no ar
O cheiro do meu Brasil
Tempera o meu vatapá
O samba hoje impera
Frevo e Bumba-Meu-Boi
O que vem da terra
Não encerra quem se foi
 
Taí, Elis, taí
Olha o feiticeiro negro
Na Sapucaí","highest"
1985,"Unidos do Cabuçu","A festa é nossa, ninguém tasca ou Quem ri por último, ri melhor","Hoje vou sonhar com a liberdade 
Eu vou, eu vou sonhar (sonhar) 
E contando a nossa história 
De tristeza e alegria 
Nos seus braços vou deitar... E vou contar 
 
Zé Carioca eu sou 
Vim de terras do além-mar 
Vi a luz da liberdade 
Se apagar na mão covarde
De quem veio explorar
 
Os índios antes livres foram massacrados 
Trocaram sua tanga pela calça lee 
E o negro escravizado 
Em Quilombos se refugiou 
Até a influência européia 
A nossa cultura modificou 
 
Quem quer vai 
Quem espera sempre alcança
Do brasileiro ninguém tira a esperança
 
Fracassaram pela traição 
As tentativas de libertação 
A independência 
A aristocracia foi quem fez 
Mas foi o povo que pagou 
E até hoje a liberdade tão sonhada não chegou 
Liberdade 
Para este povo sofredor 
Que já está de saco cheio 
De comer o pão que o diabo amassou 
A festa é nossa
 
40 anos vamos festejar 
A festa é nossa
Viemos comemorar","lowest"
1985,"Acadêmicos de Santa Cruz","Ibrahim, de leve eu chego lá","Hoje eu quero é cantar, ô ô
Laiaiá lalaiá, ô ô
Deixe amor, meu amor
A minha alegria te contagiar
Pode me chamar de cafajeste, oi
Eu sou e quem não é? (e quem não é?)
Gente fina é outra coisa
Fale de mim quem quiser
No seio de uma legião amiga
O colunismo de Ibrahim nasceu
Na força do lirismo, seu neologismo venceu
Roda baiana ô baiana cai na roda
Olha o desfile de moda
O show de elegância está no ar
Deixe a vida nos fotografar
Hollywood, debutantes e princesa
Realçando a beleza ô iaiá
No meu banquete não pode faltar caviar
Na sociedade quem sabe, sabe
Quem não sabe, quer saber
Desse gigante nobre
Filho de imigrante pobre
Que lutou pra vencer
Ademã, doa a quem doer
Só merece a voz do povo
Quem já fez por merecer","lowest"
1985,"São Clemente","Quem casa, quer casa","Nasci com a nobreza 
Na pobreza me criei 
Andei, andei (mas eu andei) 
Aqui cheguei 
Hoje mostro na Avenida 
Quem foge nesta vida de aluguel 
Trago chave de cadeia 
E os prazeres de motel 
 
Quem casa quer casa 
Eu não tenho onde morar
Vou viver como índio 
Até melhorar 
 
A natureza 
Mostrou ao homem como a vida é 
Caranguejo em casa de peixe 
Só tem a sua, de acordo com a maré 
No reino da bicharada 
Salve-se quem puder 
O forte ganha no grito 
O fraco leva no bico 
O negócio é se arrumar 
 
E nessa vida de toca em toca 
O rato se maloca pra poder rato criar
 
Ai, ai, meu Deus 
Guarde uma casa pra mim no céu 
Veja nesta terra tudo é forma de aluguel 
O meu salário é uma cascata 
Eu não vou poder pagar 
 
Vou arranjar um amor cigano 
A gente faz casa de pano
Ainda pode aumentar","lowest"
1985,"Em Cima da Hora","Me acostumo mas não me amanso","Deixando as terras secas do Norte 
Saí pra buscar a sorte 
Vim pro Rio de Janeiro 
A cidade grande é um novo teste 
Sou mais um cabra da peste 
Com instinto aventureiro 
De tudo vendo na praia e na feira 
Vendo a minha história inteira , (de saudade e desamor) 
Com minha sanfona, sou sucesso 
Faço parte do progresso, mas ninguém me dá valor 
Vote em mim sou retirante 
Cabra macho nacional
Saí do Sertão distante 
Pra vencer na capital
Na feira com saudades vou lembrando 
Parte do cotidiano no meio de tanto avanço
São Cristóvão agora é meu patrono 
Eu aqui nesse abandono 
Me acostumo mas não me amanso 
Sou índio, sou nativo soberano 
Sou enredo este ano 
O meu grito está no ar 
Sonhando vejo um novo agreste 
Porque lá no meu Nordeste 
Se chover de tudo dá 
Eu sou índio sou guerreiro 
No meio da multidão
Sou pião sou forrozeiro 
Nordestino, campeão","lowest"
1986,"Estação Primeira de Mangueira","Caymmi mostra ao mundo o que a Bahia tem e a Mangueira também","Mangueira vê no céu dos orixás
O horizonte rosa no verde do mar
A alvorada veste a fantasia
Pra exaltar Caymmi e a velha Bahia ô, ô, ô
Quanto esplendor
Nas igrejas soam hinos de louvor
E pelos terreiros de magia
O ecoar anuncia um novo dia
Nesta terra fascinante
A capoeira foi morar
 
O mundo se encanta
Com as cantigas que fazem sonhar
 
Lua cheia
Leva a jangada pro mar
Oh! Sereia
Como é belo o teu cantar
Das estrelas 
A mais linda tá no Gantois
Mangueira berço do samba
Caymmi a inspiração
Que mora no meu coração
Bahia terra sagrada
Iemanjá, Iansã
Mangueira supercampeã
 
Tem xinxim e acarajé
Tamborim e samba no pé","highest"
1986,"Beija-Flor de Nilópolis","O mundo é uma bola","Brasil, Brasil, Brasil, oi
Canta forte e explode de alegria
O mundo é uma bola
Girando, girando
Em plena euforia
Levando a corrente
Pra frente, pra frente
E a vitória conquistar
Com os heróis da nossa seleção
Vibrantes com o grito popular
Tudo em cima novamente
Sobrevoando a passarela
Que beleza a Beija-Flor
Sacudindo esta galera
Do Oiapoque ao Arroio Chui
Tem folclore, tem mandinga
Oh! Torcida campeã
O meu Rio de Janeiro
O ano inteiro á samba e Maracanã
Se esta profusão de cores
Sensibiliza o visual
A arte é jogar bola
Vai na Copa e faz um carnaval
É milenar, é milenar
A invenção do futebol
Fez o artista
Ter um sonho triunfal","highest"
1986,"Império Serrano","Eu quero","Eu quero a bem da verdade
A felicidade em sua extensão
Encontrar o gênio em sua fonte
E atravessar a ponte
Dessa doce ilusão
Quero, quero, quero sim
Quero que o meu amanhã, meu amanhã
Seja um hoje bem melhor
Uma juventude sã
Com ar puro ao redor
Quero o nosso povo bem nutrido
O país desenvolvido
Quero paz e moradia
Chega de ganhar ato pouco
Chega de sufoco e de covardia
 
Me dá, me dá
Me dá o que é meu
Foram vinte anos que alguém comeu
 
Quero me formar bem informado
E meu filho bem letrado
Ser um grande bacharel
Se por acaso alguma dor
Que o doutor seja doutor
E não passe de bedel
Cessou a tempestade, é tempo de bonança
Dona Liberdade chegou junto com a esperança
Vem meu bem, vem meu bem)
 
Sentir o meu astral
Hoje estou cheio de desejo
Quero lhe cobrir de beijos, etcétera e tal","highest"
1986,"Portela","Morfeu no carnaval, a utopia brasileira","Eu hoje só quero saber
De esfriar minha cabeça
Cantar, sorrir, pular
E esquecer minha tristeza (oh Morfeu)
Deixa Morfeu me levar
Nos seus braços, sonhador
Quero fugir da realidade
Desse mundo sofredor
Nessa noite eu vou
Fazer da dor minha alegria
Sepultar eu vou o dissabor
Do dia-a-dia
Ver o meu irmão plantando
No verde sertão
Descolar um troco e pagar
Geral pro meu patrão (que é vacilão)
Ver minha Portela estourando
A boca do balão
 
Vai, meu time, arrebenta
Até parece o escrete de setenta
 
O índio em sua selva a sorrir
Feliz nesse torrão
Livre do FMI e da poluição
 
Como é triste o despertar dessa ilusão
 
Que pesadelo
Meu Deus, quanta taxa pra pagar
É trem lotado, que sacrifício danado
Desempregado e com criança pra criar
O nosso ouro lá da serra tá pelado
Já que está tudo arrombado
Deixa o leão se arrumar
 
No país da bola
Só deita e rola
No país da bola
Quem vem com dólar...","highest"
1986,"União da Ilha do Governador","Assombrações","Veio de lá, buscando riquezas
As treze naus de Portugal
Na viagem, tantas miragens
Chegaram até ver dragões do mar
O índio o dono da terra
Deu grito de guerra
Também se assombrou
A lenda diz, que o lobisomem
Era o pavor das crianças
Diz então que Nhá Jança
Assombrava o Maranhão
O leão só morde o bumbum de pobre
E o rico é que explode a boca do balão
O FMI chegou aqui, fincou o pé
Devo e não nego
Um dia eu pago leva fé
Coração, marca passo com esperança
O amor é a herança
Para o mundo se encontrar
O carnaval eu vou fazer lá no céu
E a bomba nuclear mando lá
Pro beleléu
Quem carrega amor
Vai com Deus
Sem assombrações
Vai com Deus","highest"
1986,"Acadêmicos do Salgueiro","Tem que se tirar da cabeça aquilo que não se tem no bolso - Tributo a Fernando Pamplona","Um dia eu fui Zumbi
Rei de Palmares
Araponga na voz
Estandarte na mão
Tiê-Sangue no olhar
E o meu cinzel raiava a aurora
Jeremias, João, Daniel, Abraão
Fiz em pedra de sabão
Já bebi, sambei com Chico-Rei
Ouro nos cabelos
E no carnaval com os Tenentes do Diabo
Cavalguei o alazão da liberdade
 
Vamos gingá camará, vamos gingá
Tira da cabeça o que do bolso não dá
 
O Ana Jacinta
Eu quero te beijar
Turmalina feiticeira de Araxá
Me leva pra Bahia
Saravá Ogum, Kaô Xangô, Ave Iemanjá
Fui sambar na Praça Onze
Lá no terreiro da Ciata
Fui parar bem longe
Com o rei negro no congá
As bandeiras no varal
Manga rosa no mangueiral
Do angu à saideira
Gostosa é a cozinha brasileira
 
O Salgueiro chegou na terra Iorubá
O Salgueiro brilhou no céu de Oxalá","highest"
1986,"Mocidade Independente de Padre Miguel","Bruxarias e estórias do arco da velha","Pode rogar praga em minha sorte
Meu santo é forte ninguém vai derrubar
Sou mandingueiro, sei fazer feitiçaria
E bruxarias de todo lugar
Padre Miguel
Sua estrela, minha guia
Mocidade manifesta a cidade
Os encantos da magia
 
Esconjuro, pé de pato
Mangalô três vezes
Sai pra lá com esse galho
Sexta-feira treze
 
Tantos mistérios ao redor
Que medo das histórias da vovó
Mas o futuro quem se atreve perguntar
Agora o meu destino que será ?
Um novo tempo despontou
E vem trazendo amor
Ave sonhada, cristalizada
Raça dourada numa era de esplendor
 
O luar clareia, clareia, deixa clarear
Meia-noite lua cheia
Oi tem magia no seu jeito de olhar","highest"
1986,"Imperatriz Leopoldinense","Um jeito pra ninguém botar defeito","Despontou, ô ô ô
E faz ouvir ao longe o seu cantar
Ser feliz
É sempre amar, amor, Imperatriz
Um grito emana do povo
Os direitos são iguais
Brancos, negros, índios
Agitam a bandeira da paz
Desperta esperança
A vida acende, é luz, é cor
Surge nova era
O que passou, passou, ô ô
O que passou, passou
 
Vem brincar, amor
De um jeito tá
Que eu também tô
 
Vou cair na brincadeira
Rasgar de Norte a Sul
Vou pegar minha bandeira
Dançar o frevo e o maracatu
Quero ver, clarear
 
Aguenta, coração
Há verde e branco em minha vida
Meu futebol, meu carnaval
Minhas bandeiras na avenida","lowest"
1986,"Caprichosos de Pilares","Brazil com Z não seremos jamais, ou seremos?","Tudo bem, novamente popular
Um novo Sol a brilhar
É isso aí vou caprichar (eu falei)
Vou caprichar
Brasil, meu Brasil
Com S fica bem mais forte
No Sul, no Centro, ou no Norte
Na voz do nosso povo
Ninguém vai me enganar de novo
Num sorriso de criança
A fé, a esperança conquistar
O que é da nossa terra
Sem essa de americanizar
Não enfia o pau
Noutra bandeira
Vai, tira, tira
E bota a nossa brasileira
Sou ""canariquito""
Carioca a cantar
Águia não cala meu bico
Meu ouvido não é penico
Meu Sam é de Sambar
Unindo os heróis brasileiros
Dos pagodes nos terreiros
Contra o que vem de lá
Canto a liberdade
Meu hino, minha verdade
A feijoada e o vatapá
Quem comeu, comeu
Quem não comeu não come mais
Brazil com Z jamais!","lowest"
1986,"Estácio de Sá","Prata da noite - Homenagem a Grande Otelo","Deixa o samba correr, chuê, chuê
Deixa a água rolar, chuá, chuá, oi
Que hoje tem chuva de prata
A fina flor, a nata e a raiz
Fez do palco uma bandeira
E da carreira uma religião
Guarda banca no cinema
No rádio e na televisão
Seu nome criou fama
Seu talento corre chão
Construindo seu castelo
Vem surgindo Grande Otelo
O rei da ilusão
No tabuleiro da baiana tem
Amor e fantasia
No tabuleiro da baiana também tem
Quindins de alegria
Fez Chacrinha na Lapa
Briga de tapa nunca rejeitou
Teve atrito com Satã
E Madame Satã acreditou
Morou no berço do samba
Foi bamba compositor
Onde deu volta por cima
Fez rima de amor e dor","highest"
1986,"Unidos de Vila Isabel","De alegria cantei, de alegria pulei, de três em três, pelo mundo rodei","Sou rei, sou luar
Na vida eu tudo e nada, la laiá lá
Vira, brinca em três dias
E cai de quatro na folia
Não venha agora me sacanear
Levando o meu samba pra lá
Que ontem era popular
Já joguei minha tristeza, iaiá
Nas ondas de prata do mar
Ô ô ô ô ô ô, canto q saudade que ficou, ficou
O morro desce, me alucina
Fazendo o mundo girar
 
É passo, é pó, é paetê
Pro rei rodar
Ô lelê
Mas o mundo é pra eu brincar
 
O mundo viajando na canção
Alô, alô, viola
Um dengo de um repique pelo ar
Um ai me deixa
De cavaco e ganzá
Requebra quero ver
Quebrando pra mexer
Ô lê lê lê lê lê lê lê
Será, ô será
Que o samba ginga na voz Brasil
Mas deixa isto pra lá
E vá na pura do barril
 
Ô nanã ê okê
Ô nanã ê oka
Axé pra quem brincar","lowest"
1986,"Império da Tijuca","Tijuca, cantos, recantos e encantos","Você foi um berço de índios
Lugar de Estácio de Sá
Deu aos jesuítas o direito de ficar
Área do café e do chá
Onde os negros iam pra colheita trabalhar
Oh !  Tijuca,
A brisa beija se verde e faz bailar
Belos cantos que encantam
Recantos de encantar
O amanhecer, passarada a revoar
Vista Chinesa e a Mesa do Imperador
Olha que esplendor
Cachoeiras a cachoar
É a natureza a cantar
 
Desce o morro da Formiga
Do Borel e do Salgueiro
As escolas que incrementam
Nosso samba o ano inteiro
 
No Éden tomavam a saideira
É um canto de saudade
Onde a mocidade
Papeava a noite inteira
Hoje, o progresso na área chegou, ôô
Indústria, comércio e metrô
A Praça é meu ninho de amor
 
Império exalta sua raiz
E a massa tijucana
Se faz feliz","lowest"
